epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,144.226,2.16177,1.92929,1.45148,0.79064,0.23333,0.29538,0.07448,2.92501,2.91452,1.89454,0.00089141,0.00089141,0.00089141
21,150.76,2.11139,1.97194,1.46796,0.51451,0.26996,0.26099,0.11312,2.93449,2.6099,1.93861,0.000863116,0.000863116,0.000863116
22,158.089,2.10418,1.94114,1.45109,0.67028,0.25714,0.3587,0.10019,2.74287,2.37097,1.76381,0.000834822,0.000834822,0.000834822
23,164.506,2.05982,1.94344,1.43096,0.47652,0.28462,0.31729,0.09185,2.7415,2.27528,1.75258,0.000806528,0.000806528,0.000806528
24,172.196,2.1018,1.90667,1.42705,0.38424,0.30659,0.27919,0.09441,2.8433,2.28713,1.96219,0.000778233,0.000778233,0.000778233
25,178.713,2.05366,1.83848,1.41457,0.38224,0.28555,0.28831,0.09305,2.82719,2.19468,1.98278,0.000749939,0.000749939,0.000749939
26,186.034,2.07227,1.81312,1.39342,0.3119,0.23212,0.21934,0.06509,2.89226,2.74006,1.87218,0.000721645,0.000721645,0.000721645
27,192.718,2.07182,1.76857,1.36044,0.29773,0.25897,0.21864,0.05348,2.89627,2.63353,2.04263,0.000693351,0.000693351,0.000693351
28,200.123,2.04691,1.85336,1.40745,0.41938,0.32747,0.28201,0.08625,2.84823,2.26365,1.91927,0.000665057,0.000665057,0.000665057
29,206.957,1.99019,1.79153,1.408,0.32128,0.26996,0.27106,0.08163,3.02956,2.53332,1.97824,0.000636762,0.000636762,0.000636762
30,214.018,2.00719,1.76321,1.39494,0.57894,0.22857,0.21458,0.05068,3.01203,2.75094,1.96282,0.000608468,0.000608468,0.000608468
31,221.508,2.00496,1.72672,1.36188,0.30253,0.34689,0.25796,0.09398,2.74974,2.16497,1.80719,0.000580174,0.000580174,0.000580174
32,227.916,1.98569,1.75661,1.38262,0.70251,0.32229,0.33753,0.08106,2.71237,2.41181,1.89241,0.00055188,0.00055188,0.00055188
33,235.528,2.0096,1.65451,1.34813,0.37089,0.36154,0.37738,0.1041,2.74806,2.25721,1.89391,0.000523586,0.000523586,0.000523586
34,241.864,1.90446,1.65245,1.36207,0.35507,0.23333,0.29682,0.08877,2.85492,2.40163,1.89159,0.000495291,0.000495291,0.000495291
35,249.45,1.91761,1.62012,1.33702,0.26709,0.237,0.24449,0.06452,2.91337,2.52403,1.96418,0.000466997,0.000466997,0.000466997
36,256.102,1.93117,1.569,1.34701,0.43614,0.36777,0.31073,0.0789,2.88612,2.59224,1.8779,0.000438703,0.000438703,0.000438703
37,263.72,1.90917,1.62135,1.3268,0.5093,0.30742,0.29649,0.07604,2.84536,2.31526,1.86934,0.000410409,0.000410409,0.000410409
38,269.939,1.96108,1.60453,1.35035,0.57234,0.30626,0.29241,0.07381,2.82011,2.40854,1.94174,0.000382115,0.000382115,0.000382115
39,277.811,2.00943,1.62546,1.33424,0.51705,0.32968,0.32398,0.0768,2.85346,2.26344,1.92066,0.00035382,0.00035382,0.00035382
40,284.32,1.90987,1.59042,1.33598,0.51545,0.30842,0.29795,0.06546,2.8394,2.28985,1.90662,0.000325526,0.000325526,0.000325526
41,293.464,1.99416,1.63394,1.37939,0.391,0.29278,0.33585,0.07994,2.80183,2.42747,1.83034,0.000297232,0.000297232,0.000297232
42,301.183,1.91398,1.64388,1.38161,0.4486,0.31697,0.31346,0.10342,2.78603,2.46861,1.72483,0.000268938,0.000268938,0.000268938
43,307.399,1.92477,1.55006,1.39234,0.43053,0.37114,0.2994,0.089,2.86301,2.1865,1.82752,0.000240644,0.000240644,0.000240644
44,314.77,1.84606,1.51801,1.35276,0.45576,0.30842,0.27471,0.07826,2.91245,2.1991,1.87618,0.000212349,0.000212349,0.000212349
45,320.648,1.87975,1.5339,1.34661,0.38473,0.28278,0.26921,0.07613,2.96961,2.44773,1.8945,0.000184055,0.000184055,0.000184055
46,327.875,1.82331,1.48968,1.32181,0.32106,0.25897,0.25015,0.07329,3.00049,2.64335,1.93593,0.000155761,0.000155761,0.000155761
47,334.005,1.80516,1.45121,1.28967,0.43206,0.25714,0.26755,0.0775,2.98019,2.49198,1.94321,0.000127467,0.000127467,0.000127467
48,341.273,1.83007,1.50983,1.34021,0.48927,0.30842,0.30924,0.08895,2.92948,2.3421,1.86833,9.91726e-05,9.91726e-05,9.91726e-05
49,347.231,1.8375,1.46979,1.32954,0.52209,0.30842,0.31077,0.08849,2.90868,2.28519,1.85357,7.08784e-05,7.08784e-05,7.08784e-05
50,354.318,1.79154,1.39617,1.28284,0.37116,0.38818,0.32397,0.08989,2.90949,2.27193,1.86501,4.25842e-05,4.25842e-05,4.25842e-05
